name,lat,long,formatted_address,types
Audi Pantai Indah Kapuk,-6.1248837,106.7536631,"Jl Pantai Indah Selatan 1 ST/A, Jl. Pantai Indah Kapuk, RT.1/RW.6, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Metropolitan Tower,-6.29262,106.7847235,"Jl.RA.Kartini Kav.14 TB Simatupang, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Audi BSD,-6.276187,106.658759,"Sektor VI Blok 201 Kav. 3 Bumi Serpong Damai, Lengkong Karya, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15310, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Audi Puri Indah,-6.1864565,106.7313519,"Jalan Komplek Puri Blok R No.1 Kembangan RT.1/RW.2, Kembangan Selatan, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Center MT. Haryono,-6.2428591,106.8645059,"Gedung Indomobil Tower IV, Jl. Letjen M.T. Haryono No.Kav. 11, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Indonesia (ATPM),-6.242672,106.863316,"Jl. Letjen M.T. Haryono No.6, RW.6, Kp. Melayu, Jakarta, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
AUDI CENTER JAKARTA INDONESIA,-6.1249521,106.754431,"Jl. Kapuk Muara Raya No.1, RT.1/RW.16, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Halim Service Center,-6.2488121,106.880427,"Jl. Halim Perdanakusuma No.1 A, RT.1/RW.8, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Audi jakarta selatan,-6.29249,106.784757,"Jl. RA Kartini Kav 14 TB Simatupang Metropolitan Tower Lantai 1, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Volkswagen Audi Jakarta,-6.292661,106.784779,"Gedung Metropolitan Tower, Jl. RA Kartini Kav.14, TB. Simatupang, RT.10/RW.4, Cilandak Barat, Cilandak, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12490, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
