name,lat,long,formatted_address,types
PT. Bestindo Car Utama,-6.2817207,106.7279824,"CBD Bintaro Jaya Sektor 7 Kav. B6 No. 1, Jalan Jend. Sudirman, Pondok Jaya, Pondok Aren, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Eurokars - Kebon Jeruk,-6.192079199999999,106.7686528,"Jl. Panjang No.6, RT.11/RW.10, Kb. Jeruk, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Tunas Bekasi,-6.226157,107.003612,"AXC Summarecon Bekasi Jalan Bulevar Timur Blok VA No. 9 - 10 Summarecon Bekasi, Marga Mulya, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17143, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Thamrin - PT Artha Motor Lestari,-6.198461,106.822867,"Jalan MH Thamrin No 8, RT.5/RW.1, Kb. Melati, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Astra Serpong,-6.2874063,106.6386177,"Astra Biz Center No. 11A, Jl. BSD Raya Utama, BSD City, Serpong, Lengkong Kulon, Kec. Pagedangan, Tangerang, Banten 15331, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Bengkel BMW Cibubur,-6.4011635,106.9373542,"Jl. Letda Natsir No.18, Cikeas Udik, Kec. Gn. Putri, Bogor, Jawa Barat 16966, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Astra BMW Sunter,-6.140213,106.88501,"Jalan Gaya Motor Selatan No.1, RW.8, Sungai Bambu, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Astra Pluit,-6.1256816,106.7980931,"Jl. Pluit Selatan Raya No.8A, RT.3/RW.8, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Tunas Tebet,-6.2303314,106.8463702,"Jl. Prof. DR. Soepomo No.174, RT.1/RW.15, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
"PT. Astra International, Tbk. BMW Division",-6.2925989,106.7897259,"Jl. R.A.Kartini No.Kav. 203, RT.11/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'finance', 'store', 'point_of_interest', 'establishment']"
BMW Tunas Tomang,-6.177598,106.7987653,"Jl. Tomang Raya No.19, RT.1/RW.1, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Thamrin,-6.1981227,106.8228722,"Tanah, Gedung Indosurya Plaza, Jl. M.H. Thamrin No.8-9, RT.5/RW.1, Kb. Melati, Kec. Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
BMW Tunas Hayam Wuruk,-6.1587022,106.8191852,"Hayam Wuruk Sreet No.51, RT.7/RW.7, Maphar, Taman Sari, West Jakarta City, Jakarta 11160, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
