name,lat,long,formatted_address,types
Andalan Motor Pondok Indah,-6.2407922,106.7833723,"Jl. Sultan Iskandar Muda No.8-9, RT.3/RW.2, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Chevrolet Cibubur ( Divisi Sales ),-6.375798,106.913044,"Khusus Ibukota Jakarta, Jl. Alternatif Cibubur KM 2 No.22 Jatikarya Jatisampurna Kota Bekasi Daerah, Jatikarya, Kec. Jatisampurna, Kota Bks, Jawa Barat 17435, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Andalan Motor Samanhudi,-6.1595756,106.8355937,"Jl. Samanhudi No.43, RT.5/RW.3, Ps. Baru, Kec. Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Chevrolet,-6.252269,106.865307,"Chevrolet Sandjungan, Jl. Dewi Sartika No.295, RT.4/RW.5, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Chevrolet Trax,-6.259431999999999,106.6529549,"chevrolet prima Serpong, Jl. Raya Serpong Sebrang RS Ashobirin No.23, Pondok Jagung, North Serpong, South Tangerang City, Banten 16423, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Cakra Adi Mandiri Bogor,-6.576401199999999,106.8077862,"Padjadjaran Road No.230, Bantarjati, North Bogor, Bogor City, West Java 16128, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Chevrolet,-6.372735899999999,106.8331012,"Jl. Margonda Raya No.356, Samping, Margo City, Kota Depok, Jawa Barat 16424, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
WULING PRIMA AUTOWORLD,-6.1642993,106.667532,"Km. 21, Poris Plawad, Kec. 11112, Daan Mogot Road, Poris Plawad, Batuceper, Tangerang City, Banten 15122, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. Luminary Armada Nusantara,-6.243831999999999,106.8630529,"Jalan Letjen MT. Haryono No. 29, Kav. 28 6 1, RT.6/RW.1, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Chevrolet Jakarta Andalan Pondok Indah,-6.240793099999999,106.7830582,"Jl. Sultan Iskandar Muda No.8-9, RT.3/RW.2, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Ahmad Farid Sales Marketing Penjualan Mobil Baru Chevrolet,-6.24086,106.783145,"Jl. Arteri Pondok Indah No. 8-9, Kebayoran Lama, Jakarta Selatan, DKI, Jakarta, RT.3/RW.2, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Prima Auto World Depok,-6.3728628,106.8330533,"Jl. Margonda Raya No.28, Depok, Kec. Beji, Kota Depok, Jawa Barat 16423, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT.Smart Chevrolet,-6.3813377,106.9271401,"Ruko Kawasan Niaga Citra Grand Cibubur, Jl. Alternatif Cibubur, Jatisampurna, Kec. Jatisampurna, Kota Bks, Jawa Barat 17435, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Showroom Chevrolet Bogor,-6.5788708,106.8071121,"Padjadjaran Road No.230, Bantarjati, North Bogor, Bogor City, West Java 16128, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Chevrolet MT Haryono,-6.2425799,106.8572811,"RT.8/RW.9, East Tebet, Tebet, South Jakarta City, Jakarta 12820, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Chevrolet Cinere,-6.3385225,106.7803098,"Cinere, Depok City, West Java 16514, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Chevrolet Automotive Display,-6.2228078,106.6521453,"Jl. Jalur Sutera Bar. No.16, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Bengkel Chevrolet,-6.5804173,106.8183243,"Achmad Adnawijaya Street No.17-42, Tegal Gundil, North Bogor, Bogor City, West Java 16152, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
GGKars Garasi Gempol Karawangs (Spesialis Opel - Chevrolet),-6.304633399999999,107.2869018,"Gg. Masjid Albarkah, Sukamakmur, Kec. Telukjambe Tim., Kabupaten Karawang, Jawa Barat 41361, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Chevrolet Jakarta Kebon Jeruk (PT. Sun Motor Jakarta),-6.196725,106.76862,"Jl. Panjang No.1A, RT.4/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Jakarta, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
toko sparepart chevrolet opel peugeot,-6.4026387,106.833756,"Pasar segar depok jln.tole iskandar blok KGB1, no8 Hp:085715388137, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Mentari Motor Chevrolet,-6.2707133,106.830534,"Jl. Warung Jati Barat No.405, RT.10/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Sales Chevrolet Jakarta Selatan,-6.24086,106.783145,"Jl. Sultan Iskandar Muda No.8-9, RT.3/RW.2, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
CHEVROLET NUSANTARA CIBUBUR,-6.382521499999999,106.9269809,"Jl. Alternatif Cibubur No.22, Cibubur, Kec. Jatisampurna, Kota Bks, Daerah Khusus Ibukota Jakarta 17435, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
AAC Motor CHEVROLET,-6.2676101,106.9950791,"Jalan Siliwangi Raya No.225, Sepanjang Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17116, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Showroom ANDI chevrolet Seken,-6.1573196,106.9163942,"No.80, Jl. Raya Bekasi No.2, RW.3, Pegangsaan Dua, Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia","['store', 'point_of_interest', 'establishment']"
