name,lat,long,formatted_address,types
Datsun,-6.278945299999999,107.1676478,"Jalan Lemah Abang Raya No. 207, Cibarusah, Cikarang, Simpangan, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Datsun Leuwiliang,-6.573920299999999,106.6326192,"Leuwiliang, Bogor, West Java 16640, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Nissan Datsun Bekasi Barat (Mimosa),-6.233395799999999,106.9896868,"No. 27, Jl. Jend. Sudirman No.KM, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
NISSAN DATSUN TOMANG,-6.184183,106.789818,"Jl. Arjuna Utara No.4-44, RT.1/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Datsun Leuwiliang - Yasmin,-6.5725604,106.629171,"No., Jl. Raya Leuwiliang No.47, Leuwiliang, Bogor, Jawa Barat 16640, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Showroom Indomobil Nissan Datsun,-6.278654,106.796244,"Raya No.60 Kecamatan., Jl. RS. Fatmawati Raya, RT.11/RW.6, Cilandak Bar., Jakarta Selatan, DKI Jakarta, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Indomobil Nissan Datsun Gading Serpong,-6.2486193,106.6265125,"Blok M 5 No. 22, Jl. Gading Serpong Boulevard No.23, Curug Sangereng, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Indomobil Nisan - Datsun Dealer Jakarta,-6.206141199999999,106.7699137,"Jl. Panjang Arteri Klp. Dua Raya No.30, RT.2/RW.2, Klp. Dua, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Nissan Datsun Radin Inten,-6.2251243,106.9229265,"Kaveling 8 Nomor 18, Jl. Raden Inten II, RT.7/RW.10, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Datsun Gading Serpong,-6.248491,106.6264618,"Jl. Gading Serpong Boulevard No.M5-18, Curug Sangereng, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
