name,lat,long,formatted_address,types
Ferrari Jakarta Showroom,-6.291974799999999,106.7964021,"Wisma MRA Lantai Dasar, Jalan Tb. Simatupang No.19, Cilandak Barat, Cilandak, RT.7/RW.9, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
FERRARI Audio & Variasi,-6.2549623,106.619588,"Kompleks Bursa Mobil Summarecon blok H no. 9, Curug Sangereng, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['electronics_store', 'store', 'point_of_interest', 'establishment']"
Ferrari Motor,-6.122278,106.1724553,"Jl. KH Abdul Fatah Hasan, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Ferrari Cellular,-6.129312,106.899172,"1 No., Jl. Alur Laut No.8, RT.1/RW.3, Rawabadak Sel., Jakarta Utara, DKI Jakarta, Daerah Khusus Ibukota Jakarta 14230, Indonesia","['store', 'point_of_interest', 'establishment']"
Ferrari Oil,-6.204003999999999,106.71553,"Jalan Raya Raden Saleh Nomor 49 Depan Komplek Permata 1, Kelurahan Karang Mulya Kecamatan Karang Tengah, Karang Mulya, Kec. Karang Tengah, Tanggerang, Banten 15157, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Ferrari Audio,-6.3457561,106.2343968,"Jl. Soekarno Hatta No.17, Kaduagung Tim., Cibadak, Kabupaten Lebak, Banten 42317, Indonesia","['electronics_store', 'store', 'point_of_interest', 'establishment']"
Arkhan Ferrari EO ENTERTAINMENT & Tour Travel,-6.274571,106.696127,"Jl Masjid assa'adah Kel. Parigi lama NO 26 RT 03 RW 04 KEC. Pondok Aren, Jalan Taman Makam Bahagia, Parigi, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15227, Indonesia","['store', 'point_of_interest', 'establishment']"
Remap Ecu Mobil Ferrari -Dokter Mobil SERPONG,-6.2349693,106.5937658,"RUKO Paramount Dotcom Blok Orange no.5, Gading Serpong, Phone/WA : 0813-1991-2289, Bencongan, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Ferrari Kalimulya Residence,-6.425084099999999,106.8243142,"Jl. Mandor Dami 2, Kalimulya, Kec. Cilodong, Kota Depok, Jawa Barat 16413, Indonesia","['point_of_interest', 'establishment']"
Ferrari Jakarta,-6.263896799999999,106.7826428,"Jl. Kartika Utama, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","['point_of_interest', 'establishment']"
Ibu Ina Ferrari,-6.307048,106.704201,"jl. Pinguin IV F2 no. 1, Serua, Ciputat, South Tangerang City, Banten 15414, Indonesia","['lodging', 'point_of_interest', 'establishment']"
Kemitraan Berbayar Dengan Ferrari Indonesia,-6.2916542,106.7965766,"Jl. TB Simatupang No.19, RT.2/RW.9, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['point_of_interest', 'establishment']"
Dealer Maserati,-6.2414102,106.7823102,"Jl. Sultan Iskandar Muda No.51, RT.6/RW.3, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hariko Satutama,-6.1907612,106.7503087,"Jl. Puri Kencana, RT.11/RW.7, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","['point_of_interest', 'establishment']"
PT Mercedes-Benz Distribution Indonesia,-6.338239,106.7498739,"Jl. R.E. Martadinata No.Km. 7, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Ferari Jok & Car Interior,-6.3866033,106.9383534,"Unnamed Road, Nagrak, Gunung Putri, Bogor, West Java 16967, Indonesia","['store', 'point_of_interest', 'establishment']"
Mercedes Benz jakarta,-6.2244043,106.8313698,"Jalan Denpasar Raya No.Kav 12 blok D2 RT.7/RW.4, RT.7/RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Ferrari,-6.922784300000001,107.5961924,"JL Pagarsih, No. 157, Jamika, Bojongloa Kaler, 40231, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241, Indonesia","['travel_agency', 'point_of_interest', 'establishment']"
