name,lat,long,formatted_address,types
PT. Selaras Nusa Abadi,-6.29512,106.66676,"BLK. C, No. 3-6, Ruko Bidex, JL. Pahlawan Seribu, Lengkonggudang, 15321 Tangerang, Indonesia, Lengkong Gudang, Serpong Sub-District, South Tangerang City, Banten 15321, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Nusantara Ford Depok,-6.3888427,106.8265171,"Jl. Margonda Raya No.28, Kemiri Muka, Kec. Beji, Kota Depok, Jawa Barat 16431, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Ford Bekasi Jatibening,-6.2612009,106.944484,"Jl. Jati Bening II No. 9 - 10, Jatibening, Pondok Gede, Jatibening, Kec. Pondokgede, Kota Bks, Jawa Barat 17412, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Nusantara Ford Bintaro,-6.2737391,106.709602,"Bintaro Jaya Sektor 7, Jalan Boulevard Raya CBD, Pondok Jaya, Pondok Aren, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Ford Motor Indonesia,-6.242540200000001,106.8630534,"Jl. Letjen MT Haryono Kav. 8 Bidaracina Jatinegara Jakarta Timur DKI Jakarta, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['store', 'point_of_interest', 'establishment']"
Allwork Ford PT,-6.144243,106.786176,"Jl. Pangeran Tubagus Angke Blok D No.10, RT.13/RW.7, Jelambar Baru, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Kreasi Auto Kencana Ford Service Center,-6.1746757,106.9138092,"Jl. Pegangsaan Indah Barat RT 16/21, Pegangsaan Dua, Klp. Gading, 14240Indonesia, RT.1/RW.1, Pegangsaan Dua, Kelapa Gading, North Jakarta City, Jakarta 14250, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Kumala Purwakarta,-6.556819300000001,107.4362228,"Jl. A Yani 165, RT.10/RW.03, cipaisan, purwakarta, Cipaisan, Purwakarta Sub-District, Purwakarta Regency, West Java 41113, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
CV.Persatuan Putra Mandiri,-6.1494909,106.8978652,"Ruko gading bukit indah blok SA 31, RT.18/RW.8, Klp. Gading Bar., Jakarta, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
MIE AYAM DAN ES CAMPUR MANG EDI,-6.3065511,107.1099474,"Jln ciung indah no,31 Kp, Jarakosta DS, Danau indah RT/RW 002,003, Kec, Cikarang, Bekasi, Jawa Barat 17530, Indonesia","['car_dealer', 'finance', 'store', 'point_of_interest', 'establishment']"
"EYNA MOTOR, Spesialis Ford",-6.291526999999999,106.739777,"Jl. Menjangan No.50, Pd. Ranji, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
FAS Ford Auto Solution and C'fas cafe,-6.3008333,106.764201,"Jl. Gn. Raya No.53, Cireundeu, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15419, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Citra Ford Jakarta Timur,-6.2304523,106.9221113,"Jl. Pendidikan Raya Blok K No.174, RT.5/RW.14, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Safari Mas Authorized Partshop Ford & Mazda,-6.171564000000001,106.842923,"Plaza Atrium Senen Lantai 5 Blok A No.5-6, RT.19/RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Ford Nusantara Service,-6.2715551,106.9940368,"Sepanjang Jaya, Rawalumbu, Sepanjang Jaya, Kota Bks, Jawa Barat 17114, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Ford Pluit,-6.120895,106.7913677,"Jl.pluit putra, Jl. Pluit Utara Raya No.15, RT.13/RW.6, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Ford Sahabat,-6.332957,106.784618,"Pasar Segar Cinere Blok OAB No. 16, JL. Bukit Cinere, No. 145, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Bawang Goreng Gurih(Miss Bawang),-6.332438000000001,106.855715,"JL.Kirai Indah kav.2 RT.06/10 no.29A. Kalisari, Pasar Rebo, Jakarta Timur, Kalisari, Jakarta, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Citra Ford Service,-6.231656699999999,106.9217521,"Jl. Pendidikan Raya Blk. K No.173, RT.5/RW.14, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Toko Indonesia Jaya Spesialis Ford Mazda Chevrolet,-6.151837,106.84415,"Pasar Mobil Kemayoran, Blok S 103 C, RW.10, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 10620, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
