name,lat,long,formatted_address,types
PT Gamma Eka Sentosa,-6.2265599,106.6381449,"Jl. MH. Thamrin No.58, Panunggangan, Kec. Pinang, Kota Tangerang, Banten 15143, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda,-6.170850499999999,106.5959129,"Jl. Raya Villa Tangerang Indah, Gebang Raya, Kec. Periuk, Kota Tangerang, Banten 15132, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda,-6.193448999999999,106.7684198,"Jalan Panjang No.200, Kebon Jeruk, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Honda Union Serpong,-6.2534709,106.6513353,"Jl. Raya Serpong No.KM.10, Pd. Jagung, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15326, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Honda,-6.4189012,106.7956441,"Jl. Raya Meruyung, Cipayung, Kec. Cipayung, Kota Depok, Jawa Barat 16442, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Bintaro,-6.2769685,106.7230491,"Pondok Jaya, Pondok Aren, South Tangerang City, Banten 15220, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Honda Motorcycle Dealer,-6.161740099999999,106.6221959,"Tanah Tinggi, Jl. Daan Mogot Km-23 No.36 E - F, Ps. Baru, Kec. Karawaci, Kota Tangerang, Banten 15119, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Honda Hasta Mandiri,-6.139863699999999,106.2899354,"Jl. Raya Serang - Jkt No.15, Kragilan, Kec. Kragilan, Serang, Banten 42184, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Motor HONDA PT.Pacific Motor 1,-6.262555700000001,107.1408916,"Jl. RE. Martadinata No.3, Karangbaru, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Motor,-6.3339276,106.6389073,"Cibogo, Cisauk, Tangerang, Banten 15344, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Dealer Graha Surya,-6.2437861,106.8256657,"Jalan Mampang Prapatan Raya No. 25, RT.04 / RW.06, Mampang Prapatan, RT.4/RW.6, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Kedoya,-6.1884807,106.7622024,"Jl. Kedoya Alkamal No.12, RT.9/RW.4, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Fatmawati,-6.2785497,106.797904,"Jl. RS. Fatmawati Raya No.21, RT.5/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Union Tangerang,-6.195557699999999,106.6371728,"Jl. Hartono Raya, RT.02/RW.05, Babakan, Tangerang, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15117, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda,-6.239914799999999,106.8185722,"Jl. Kapten Tendean No.8, RT.1/RW.1, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Honda,-6.318009,106.9859423,"Jl. Narogong Raya No.24, RT.3/RW.7, Bantargebang, Kota Bks, Jawa Barat 17151, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Megah Cinere (PT. Setianita Megah Motor),-6.3467443,106.776568,"Gedung Honda Cinere Jl. Cinere Raya No. 88, Cinere, Depok, Jawa Barat, Cinere, Kec. Cinere, Jakarta Selatan, Daerah Khusus Ibukota Jakarta 16514, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda,-6.3437052,106.7325679,"Jl. Siliwangi, Pamulang Bar., Kec. Pamulang, Kota Tangerang Selatan, Banten 15417, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Auto Serang,-6.094961199999999,106.1332884,"Jl. Raya Cilegon No.517, Drangong, Kec. Taktakan, Kota Serang, Banten 42162, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Honda Permata Serpong,-6.247063499999999,106.6256463,"Jl. Boulevard Gading Serpong CBD Lot. 1, Gading Serpong, Curug Sangereng, Tangerang, Banten 15810, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
