name,lat,long,formatted_address,types
Gedung Hyundai Indonesia,-6.2320901,106.7879645,"Jl. Teuku Nyak Arief No.14, RT.4/RW.2, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Sunter,-6.131217899999999,106.8554925,"Jl. Danau Sunter Barat Blok A1-A2 No. 7, Tanjung Priok, RT.2/RW.7, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Hyundai Mobil Kalimalang Jakarta Timur,-6.2477833,106.9288639,"Komplek Perumahan Billy & Moon M1/1A, Jl. Raya Kalimalang, Pondok Kelapa, Duren Sawit, RT.2/RW.10, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai showroom and workshop in Ciputat,-6.2958928,106.7650858,"Jl. Ir H. Juanda No.76, RT.7/RW.2, Rempoa, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Pasar Minggu,-6.2458051,106.8431129,"Jalan Raya Pasar Minggu No.7, Pancoran, RT.7/RW.9, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Serpong,-6.2328402,106.6427525,"Jalan Raya Serpong KM.7 No.32, Pakualam, Serpong Utara, Pakualam, Kec. Serpong Utara, Tangerang, Banten 15312, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT HYUNDAI MOBIL INDONESIA CABANG DEPOK,-6.387809,106.8276555,"Jl. Margonda Raya No.358, Kemiri Muka, Kec. Beji, Kota Depok, Jawa Barat 16423, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
HYUNDAI SIMPRUG [ Hyundai Pusat ] Promo Hyundai | Harga Hyundai | Dealer Hyundai,-6.232116299999999,106.7880651,"Jl. Teuku Nyak Arief No.14, RT.4/RW.2, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Mobil Alam Sutera,-6.2325366,106.6600848,"Pakualam, North Serpong, South Tangerang City, Banten 15320, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Cibubur,-6.3797289,106.923044,"Jalan Alternatif Cibubur No.25, Jatisampurna, Kec. Jatisampurna, Kota Bks, Jawa Barat 13720, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Inkopal Kelapa Gading,-6.1555041,106.8953214,"Jl. Boulevard Bukit Gading Raya No.1, RT.15/RW.3, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toko Hyundai,-6.2083151,106.8252123,"jl. prof dr soepomo No.176C, RT.6/RW.3, Kuningan, Setia Budi, Setiabudi, South Jakarta City, Jakarta 12910, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Hyundai Pluit,-6.111540799999999,106.7786616,"Jl. Pluit Karang Utara No.26, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
HYUNDAI PUSAT [ Simprug ],-6.232116299999999,106.7880651,"Jl. Teuku Nyak Arief No.14, RT.4/RW.2, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
