name,lat,long,formatted_address,types
Lamborghini Jakarta,-6.224283,106.8100503,"Pacific Place Lantai Ground No. 73-74, Jl. Jend. Sudirman No.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Tonino Lamborghini Beds & Linens,-6.2014562,106.800905,"Jalan Jenderal Gatot Subroto No.53, RT.10/RW.6, Petamburan, Tanahabang, Central Jakarta City, Jakarta 10260, Indonesia","['home_goods_store', 'furniture_store', 'store', 'general_contractor', 'point_of_interest', 'establishment']"
Lamborghini Toko,-6.136214,106.8246499,"ITC Mangga Dua Lt. 3 Blok D/72, JL. Mangga Dua Raya, Ancol, Pademangan, RT.11/RW.5, Ancol, Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia","['clothing_store', 'store', 'point_of_interest', 'establishment']"
Lamborghini Jakarta Service,-6.1199105,106.6735505,"Soewarna Business Park Lot D1 no.20-22, Pajang, Benda, Kota Tangerang, Banten 19110, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Service Ac Mobil Lamborghini -Dokter Mobil SERPONG,-6.2434696,106.6201966,"RUKO Paramount Dotcom Blok Orange no.5, Gading Serpong Phone/WA : 0813-1991-2289, Klp. Dua, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Tonino Lamborghini,-6.2014562,106.800905,"Jalan Jenderal Gatot Subroto No.53, RT.10/RW.6, Petamburan, Tanahabang, Central Jakarta City, Jakarta 10260, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Bengkel Mobil 24 Jam GALAXY CIKARANG “Rian Lamborghini”,-6.255286,107.157187,"Jl. Ki Hajar Dewantara, Karangasih, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530, Indonesia","['car_repair', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Lamborghini,-6.289024,106.881857,"Tamini Square Lt.Ground GS62 No.1, Jalan Taman Mini Raya, RT.9/RW.1, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Indonesia","['restaurant', 'food', 'point_of_interest', 'establishment']"
Ferrari Jakarta Showroom,-6.291974799999999,106.7964021,"Wisma MRA Lantai Dasar, Jalan Tb. Simatupang No.19, Cilandak Barat, Cilandak, RT.7/RW.9, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Lamborghini Water Heater (PT. Euro Prima Perkasa),-6.130376999999999,106.793017,"Kompleks Ruko 38 No. B3 Jl. Jembatan 3 Penjaringan, RT.14/RW.16, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","['point_of_interest', 'establishment']"
