name,lat,long,formatted_address,types
Mercedes Benz jakarta,-6.2244043,106.8313698,"Jalan Denpasar Raya No.Kav 12 blok D2 RT.7/RW.4, RT.7/RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT Mercedes-Benz Distribution Indonesia,-6.338239,106.7498739,"Jl. R.E. Martadinata No.Km. 7, Cipayung, Kec. Ciputat, Kota Tangerang Selatan, Banten 15411, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. Adedanmas,-6.29144,106.787945,"Jl. TB Simatupang Kav. 5, Lebak Bulus, Cilandak, RT.16/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mercedes Benz Tangerang,-6.288434899999999,106.6458079,"De Park BSD Boulevard Utara Kav. Commercial, Jl. Komp. Bsd No.16, Lengkong Wetan, City, Tangerang, Banten 15331, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. Cakrawala Automotif Rabhasa,-6.2246609,106.8313927,"Jalan Denpasar Raya Blok D2 Kav. 12, Karet Kuningan, Setiabudi, RT.7/RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. Panji Rama Otomotif (PRO Motor) - Gandaria,-6.2473871,106.7810295,"Jl. Sultan Iskandar Muda No.97, RT.1/RW.2, Gandaria Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Authorized Mercedes Benz Dealer,-6.1250657,106.794723,"Jl. Pluit Selatan Raya No.1C, RT.16/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","['car_dealer', 'finance', 'store', 'point_of_interest', 'establishment']"
DEALER RESMI MERCEDES-BENZ JAKARTA,-6.242805499999999,106.8609985,"JL Jl. Letjen M.T. Haryono No.KAV 5-6, RT.1/RW.14, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Mercedes-Benz,-6.242458999999999,106.824152,"Jl. Mampang Prpt. Raya No.68-69 13 1, RT.13/RW.1, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. CAR Mercedes Benz,-6.224483299999999,106.8313257,"Jl. Denpasar Raya No.Blok D2, RT.7/RW.4, Kuningan, Karet Kuningan, Setia Budi, Kabupaten Kuningan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Mercedes Benz Jakarta,-6.218345299999999,106.8162282,"Jl. Jend. Sudirman No.5, RT.5/RW.4, Karet Semanggi, Setia Budi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mercedes-Benz Jakarta,-6.207908499999999,106.8214325,"Jl. Jend. Sudirman No.kav.8, Karet Tengsin, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 10220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Authorized Dealer Mercedes Benz,-6.2111,106.91429,"Darma Niaga, Jalan Raya Bekasi KM.17 No.23, RT.2/RW.9, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT Mercindo Autorama Sunter,-6.1565005,106.8845845,"Jl. Yos Sudarso No.kav.88, RT.10/RW.6, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT Mercindo Autorama,-6.2440729,106.8261334,"Jl. Mampang Prpt. Raya No.70, RT.3/RW.5, Mampang Prpt., Kec. Mampang Prpt., Jakarta, Daerah Khusus Ibukota Jakarta 12790, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Mercedes Benz Kuningan,-6.224679,106.831578,"Jl. Denpasar Raya No.Kav. 12, RT.7/RW.4, Kuningan, Karet Kuningan, Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Mercedes-Benz Bintaro,-6.274544,106.7090205,"Showroom mercedes Benz Car Di ruko, Jl. Boulevard Bintaro Jaya. Pondok Aren Tangerang Selatan Ruko Kebayoran Arcade 5. Blok KA S3 - 6, Pd. Pucung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Sales consultant Commercial Mercedes - Benz,-6.213691,106.629583,"Authorized Dealer Mercedes-benz, Jl. MH. Thamrin, Cikokol, Kec. Tangerang, Kota Tangerang, DKI Jakarta 10570, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mercedes Benz Jakarta,-6.2426791,106.8609727,"Jalan Letjen M.T. Haryono No.Kav.5 1 14, RT.1/RW.14, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mercedes Benz Jakarta Selatan,-6.224483299999999,106.8313257,"Jalan Denpasar Raya Blok D2, RT.7/RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
