name,lat,long,formatted_address,types
Mini,-6.0693139,106.6466611,"Pasar Kampung Melayu Lantai Dasar Los No. 186, JL Raya Teluk Naga, No. 11, Teluk Naga, Kp. Melayu Timur, Tangerang, Banten 15510, Indonesia","['store', 'point_of_interest', 'establishment']"
MINI MAXINDO,-6.2494008,106.7815096,"Jl. Sultan Iskandar Muda No.99, RT.7/RW.2, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mini,-6.1568514,106.8279359,"Pasar Karang Anyer A L00 AKS 126, Gg. 10, RT.9/RW.2, Karang Anyar, Kec. Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10740, Indonesia","['shoe_store', 'store', 'point_of_interest', 'establishment']"
Mini,-6.188029999999999,106.8151659,"Pasar Blok B Tanah Abang Lantai 2 Los A No.68, Los B No.97, Jl. K.H. Mas Mansyur, Kp. Bali, Kec. Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260, Indonesia","['clothing_store', 'store', 'point_of_interest', 'establishment']"
PLAZA MINI,-6.246201000000001,106.626941,"Jl. Gading Serpong Boulevard, Curug Sangereng, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
ORION MINI BIKE,-6.286426,106.702882,"Jalan Raya No 04 02, Jl. Kp. Rw. Tim. No.9, Jombang, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15229, Indonesia","['store', 'point_of_interest', 'establishment']"
Mini Motor,-6.1954632,106.9344526,"Kawasan Bizpark 2 Jalan Raya Penggilingan Blok B No.5, RT.1/RW.7, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940, Indonesia","['store', 'point_of_interest', 'establishment']"
Motor Mini Shop,-6.163105000000001,106.72662,"Jl. Raya Pondok Randu No.38, RT.3/RW.7, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia","['store', 'point_of_interest', 'establishment']"
Toko Motor Mini Cikarang,-6.3114532,107.165032,"Jalan Tarum Barat II No. 29-30 Raya, Jayamukti, Kec. Cikarang Pusat, Bekasi, Jawa Barat 17530, Indonesia","['store', 'point_of_interest', 'establishment']"
Mini,-6.603636,106.800032,"Pasar Bogor Lantai 1 Blok A/7, JL.. Surya Kencana, No. 3, Babakan Pasar, Bogor Tengah, 16126, Babakan Ps., Kec. Bogor Tengah, Kota Bogor, Jawa Barat 16123, Indonesia","['pet_store', 'store', 'point_of_interest', 'establishment']"
Distro Motor Mini,-6.348408000000001,106.73543,"Jl. Dr. Setiabudi No.24, RT.01/RW.04, Pamulang Bar., Kec. Pamulang, Kota Tangerang Selatan, Banten 15417, Indonesia","['store', 'point_of_interest', 'establishment']"
Hobbies Motor Mini,-6.2535332,106.7895207,"Komplek Yado 1, Jalan Haji Sajim No. 2, RT02/02, Radio Dalam, RT.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia","['store', 'point_of_interest', 'establishment']"
Adya Motor Mini!,-6.405710999999999,106.746621,"Jalan Muchtar Raya RT 03 RW 05 Kelurahan Bojongsari Lama Kecamatan Sawangan, Depok, Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat 16516, Indonesia","['store', 'point_of_interest', 'establishment']"
Zahrah Motor Mini,-6.33747,107.3112191,"Jl. Raya Tlk. Jambe, Telukjambe, Kec. Telukjambe Tim., Kabupaten Karawang, Jawa Barat 41361, Indonesia","['store', 'point_of_interest', 'establishment']"
Motor Mini Kembar Garage Bekasi,-6.2302637,107.0143381,"Jl. Mekar Sari No.82, RT.05/RW.03, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112, Indonesia","['store', 'point_of_interest', 'establishment']"
Plaza Mini Cooper,-6.2463789,106.6270651,"Jl. Gading Serpong Boulevard, Curug Sangereng, Kelapa Dua M5 / 10, Curug Sangereng, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Taman Mini Indonesia Indah,-6.302445899999999,106.8951559,"East Jakarta City, Jakarta, Indonesia","['amusement_park', 'museum', 'park', 'point_of_interest', 'establishment']"
ZR mini motor,-6.511387999999999,106.841948,"Jl. Raya Jakarta-Bogor No.km, Nanggewer, Cibinong, Bogor, Jawa Barat 16912, Indonesia","['store', 'point_of_interest', 'establishment']"
"Mhan's House, Griya Asri Taman Mini",-6.2882669,106.9363233,"komp. griya asri taman mini blok c.2 no. 5, Jatimakmur, Pondok Gede, Bekasi City, West Java 17413, Indonesia","['store', 'point_of_interest', 'establishment']"
Mini,-6.425055,106.727481,"Pasar Parung Blok BD No. 11, JL. H. Mawi, Waru, Parung, Parung, Kec. Parung, Bogor, Jawa Barat 16330, Indonesia","['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Mini,-6.12,106.150278,"Pasar Rau Trade Center Lantai Dasar Blok A1/8, JL TB Sueb, No. 1, Cimuncang, Serang, Kec. Serang, Kota Serang, Banten 42116, Indonesia","['restaurant', 'food', 'point_of_interest', 'establishment']"
Mini,-6.3889,106.849219,"Pasar Musi Blok B No. 67, JL. Raya Musi, No. 40, Sukmajaya, Abadijaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417, Indonesia","['store', 'point_of_interest', 'establishment']"
Mini,-6.422971299999999,106.7322071,"Pasar Parung Kios H I No.112, JL. Raya Parung, Parung, Kec. Parung, Bogor, Jawa Barat 16330, Indonesia","['clothing_store', 'store', 'point_of_interest', 'establishment']"
Mini,-6.2077643,106.8408031,"Pasar Rumput B LOO DCT 95, Jalan Raya Sultan Agung, RT.1/RW.3, Ps. Manggis, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970, Indonesia","['point_of_interest', 'establishment']"
Mini Motor Bengkel,-6.162709599999999,106.8446198,"Jl. Kepu Timur No. 218 RT 011 RW 04 Kemayoran Kemayoran Jakarta Pusat DKI Jakarta, RT.1/RW.5, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Mini Motor,-6.275394299999999,106.7975636,"Jl. RS. Fatmawati Raya No.5, RT.1/RW.6, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
MINI VAPOR,-6.170912,106.580733,"Perumahan Total Persada Raya 1 Blok C1 No 32, Gembor, Kec. Periuk, Kota Tangerang, Banten 15133, Indonesia","['store', 'point_of_interest', 'establishment']"
Daffa Mini Motor,-6.332985000000001,106.637064,"Jalan Raya Cisauk Kavling Bermis B4 RT. 007 RW. 004, Cisauk, Kec. Cisauk, Tangerang, Banten 15341, Indonesia","['store', 'point_of_interest', 'establishment']"
Toko Jual Ikan Cupang Hias & Aquarium Mini,-6.277996799999999,106.4947972,"Jalan Ciung Raya Blok AIE8 No.2, Marga Sari, Tigaraksa, Marga Sari, Tigaraksa Kec., Tangerang, Banten 15720, Indonesia","['pet_store', 'store', 'point_of_interest', 'establishment']"
Paint Shop Mini Djaya,-6.310311,107.314188,"Jl. Tuparev No.406, Karawang Wetan, Karawang Tim., Kabupaten Karawang, Jawa Barat 41314, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Mini Market Fathimah Palem Hills,-5.986748299999999,106.0416611,"Jl. Alamanda VII No.1, Kotabumi, Kec. Purwakarta, Kota Cilegon, Banten 42434, Indonesia","['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Mandoya Mini Pao & Snacks,-6.1894573,106.7702517,"Jl. Arjuna Utara No.9-D, RT.8/RW.1, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia","['bakery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
MOTOR MINI izan Toys,-6.1520651,106.7244051,"No. Daerah Khusus Ibukota, Jl. Dd II No.2A, RT.2/RW.2, Bar., Cengkareng, RT.2/RW.2, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","['store', 'point_of_interest', 'establishment']"
MM3 Mart Wanaherang,-6.417491099999999,106.9364339,"Jl. Mercedez Benz, Pasar Wanaherang, Gunung Puteri, Wanaherang, Kec. Gn. Putri, Bogor, Jawa Barat 16965, Indonesia","['convenience_store', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Motor mini bekasi mmb,-6.247528,106.994799,"Jl. Mayor Madmuin Hasibuan No.1 A, RT.06/RW.08, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113, Indonesia","['store', 'point_of_interest', 'establishment']"
Motor mini cikupa,-6.215351099999999,106.5240487,"Talagasari, Cikupa, Tangerang, Banten 15710, Indonesia","['store', 'point_of_interest', 'establishment']"
Mini Rock Music (MRM),-6.211482999999999,106.967508,"Jl. Nangka V No.22, Harapan Baru, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17133, Indonesia","['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Abi Zhidan Motor Mini,-6.22376,106.7583943,"Jl. Palem, RT.1/RW.8, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia","['store', 'point_of_interest', 'establishment']"
Sell ​​Stores Parabolic Antenna Mini Non Dues,-6.152029,106.7963371,"Jl. Jembatan Besi Raya, RT.12/RW.1, Jemb. Besi, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320, Indonesia","['electronics_store', 'store', 'point_of_interest', 'establishment']"
Cikande Mini Market,-6.208565,106.381817,"JL Raya Serang Km 63/7, Cikande, Serang, 42186, Cikande, Jayanti, Tangerang, Banten 42186, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
Lampu Merah Keong Mas Taman Mini,-6.3076946,106.8920049,"Jl. Rw. Segaran No.35-81, RT.3/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Mini Market Mudra,-6.167830599999999,106.9342242,"Jalan Tipar Cakung No.6, RT.10/RW.8, Cakung Barat, Cakung, RT.10/RW.8, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
Net Mini Market,-6.243500699999999,106.6281684,"Curug Sangereng, Kelapa Dua, Tangerang, Banten 15810, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
D New Ragoon Mini Market,-6.291828799999999,106.8238133,"SMKN 57 Jakarta, Jl. Taman Margasatwa No. 38B, RT.12/RW.5, Jati Padang, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12250, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
HPAI Mini Market,-6.234985300000001,106.933605,"Jl. Cikoko, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
Mini Market,-6.147368999999999,106.725343,"Jl. Bambu Kuning IX No.4, RT.11/RW.3, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Cempaka Indah Mini Market,-6.1631616,106.8754308,"Ruko Mega Grosir Cempaka Mas Blok I No. 27, Jalan Letjen Suprapto, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia","['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Warung Mini (Warni),-6.192000999999999,106.860171,"Jl. Percetakan Negara VI No.42, RT.4/RW.3, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Sodaqo Mini Mart,-6.3036404,106.7529011,"Jl. W R Supratman, Cemp. Putih, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412, Indonesia","['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Mels Mini Mart,-6.152620499999999,106.7880244,"Jalan Jelambar Selatan II No.10, Jelambar, Grogol petamburan, RT.11/RW.2, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia","['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Mini Office Indonesiafashionhunter.com,-6.1702771,106.7812975,"Tanjung Duren Utara 8, Gang 8 No.765, RT.2/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia","['clothing_store', 'store', 'point_of_interest', 'establishment']"
Mini Sera,-6.354902099999999,107.3081486,"Pinayungan, Telukjambe Timur, Karawang Regency, West Java 41361, Indonesia","['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Mini Babanana,-6.1414458,106.7978275,"Jl. Jemb. Gambang Raya No.I, RT.10/RW.1, Pejagalan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","['food', 'store', 'point_of_interest', 'establishment']"
Brawijaya Mini Market,-6.249989999999999,106.808159,"Jl. Brawijaya XII No.1, RT.2/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
Pelita Ibu Mini Market,-6.346732599999999,106.8735449,"Jl. Lap. Tembak, RT.3/RW.1, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720, Indonesia","['store', 'point_of_interest', 'establishment']"
Mini market pondok hijau,-6.2708542,107.0147045,"Jl. Kenanga Utara 3 No.73, Pengasinan, Kec. Rawalumbu, Kota Bks, Jawa Barat 17115, Indonesia","['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Lombok NTB Pearls Mini Gallery,-6.2490213,106.8253592,"Jl. Mampang Prapatan IX No.19, RT.7/RW.6, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia","['clothing_store', 'store', 'point_of_interest', 'establishment']"
Outlet Mini Clothing,-6.134055699999999,106.7030348,"Jl. Peta Utara No.1, RT.5/RW.2, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia","['clothing_store', 'store', 'point_of_interest', 'establishment']"
Mini Market Tiga Putri,-6.129194699999999,106.8991825,"Jl. Alur Laut No.5, RT.1/RW.3, Rawabadak Sel., Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14230, Indonesia","['convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
Toko Pancing Mini,-6.2484373,107.2349719,"Kp. Rawa Kuda, Desa Karang Harum, Kecamatan Kedubgwaringin, Karangharum, Bekasi, Jawa Barat 17540, Indonesia","['store', 'point_of_interest', 'establishment']"
