name,lat,long,formatted_address,types
MITSUBISHI PAJERO SPORT,-6.1746266,106.811428,"Jl. Cideng Barat No.65B, RT.14/RW.2, Cideng, Kec. Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Setiakawan Menara Motor,-6.1208626,106.1782463,"Jl. Jend. Sudirman No.36, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mitsubishi Motors PT Bumen Redja Abadi,-6.233374599999999,106.7365732,"Jalan Pahlawan 1000 No. 5, RT.1/RW.1, Kreo, Serpong, Kota Tangerang, Banten 15156, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Promo Mobil Pajero Pondok Indah,-6.2490599,106.7809394,"Jl. Sultan Iskandar Muda No.28-29, RT.2/RW.1, Kby. Lama Sel., Jakarta Selatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
dealer Mitsubishi Jakarta,-6.2490599,106.7809394,"Jl. Sultan Iskandar Muda No.28-29, RT.2/RW.1, Kby. Lama Sel., jakarta selatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Jual Mitsubishi Pajero : Jeff,-6.188653,106.782945,"Jl. Pos Pengumben, Jl. Budi Raya No.20, RT.1/RW.5, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer mitsubishi,-6.2517716,106.781253,"Jl. Sultan Iskandar Muda No.28-29, RT.8/RW.1, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
MITSUBISHI MENTENG CAKUNG PT. Dwindo Berlian Samjaya,-6.189151,106.9643682,"Jalan Raya Bekasi Km. 26 Ujung Menteng Cakung RT.6/RW.1 RT.6, RT.1/RW.1, Cakung Bar., Kec. Cakung, DKI Jakarta 17132, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mitsubishi Bogor,-6.5584194,106.7827598,"Jl. Sholeh Iskandar No.35, Kedung Jaya, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT Mitsubishi Motors Krama Yudha Sales Indonesia,-6.2435567,106.9925049,"Jalan Jendral Ahmad Yani, Kayuringin Jaya, Kec. Bekasi Sel., Jakarta Timur, Daerah Khusus Ibukota Jakarta 17144, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
MITSUBISHI MOTORS - BSD,-6.275856999999999,106.6583996,"Lengkong Karya, North Serpong, South Tangerang City, Banten 15310, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
MITSUBISHI DEALER CIBUBUR,-6.391698,106.9548628,"Jl. Alternatif Cibubur No.32, Gunung Putri, Cileungsi, Kec. Cileungsi, Bogor, Jawa Barat 16820, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mitsubishi Srikandi Alam Sutera,-6.2259429,106.6552617,"Jl. Jalur Sutera Boulevard No.Kav. 28, Panunggangan Tim., Kec. Pinang, Kota Tangerang, Banten 15325, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT Mitsubishi Motors Krama Yudha Sales Indonesia (MMKSI),-6.1787356,106.87629,"Blok Kavling Blok Pulo MAS Selatan No.22 RT.6/RW.11 Kayu Putih Pulo Gadung East Jakarta City DKI Jakarta 13210 ID, Jl. Pulomas Selatan, RT.6/RW.11, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mitsubishi Srikandi Sunter,-6.137808,106.876908,"Jl. Danau Sunter Utara Blok B No. 14, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mitsubishi Center Jakarta,-6.145179199999999,106.7940813,"Jl. Prof. Dr. Latumenten V No.5, RT.5/RW.6, Angke, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 12930, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Nusantara Mitsubishi Dealer.,-6.3811295,106.8306024,"Jl. Margonda Raya No.34, Kemiri Muka, Kec. Beji, Kota Depok, Jawa Barat 16421, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
MITSUBiSHI MOTOR,-6.203307,106.801352,"Jl. Jend. Gatot Subroto Kav. 50-52, RW.7, Petamburan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mitsubishi Kebon Jeruk,-6.1597763,106.7767822,"Rumah oma El Jl asia baru tanjakan no.76 rt.004 rw.04, Kelurahan No.RT.12, RT.1/RW.9, Duri Kepa, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Mitsubishi Kelapa Gading,-6.1638107,106.9098072,"Al Azhar, Komp. Ruko Graha Boulevard Blok NC 1 No 29 Seberang, RT.1/RW.12, Pegangsaan Dua, Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
