name,lat,long,formatted_address,types
Peugeot,-6.2926999,106.7894271,"Jl. TB Simatupang, RT.11/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
PEUGEOT BSD Astra Biz Center,-6.287366,106.638985,"Jl BSD Raya Utama, Astra Biz Center, Kav. Commercial Park Barat Lot I. IIC, Lengkong Kulon, Kec. Pagedangan, Tangerang, Banten 15331, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Dealer Peugeot,-6.2310929,106.6594335,"Alam Sutera, Jalan Jalur Sutera, Pakualam, Tangerang Selatan, Kota Tangerang Selatan, Banten 15143, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Peugeot,-6.2400335,106.819148,"Jl. Kapten Tendean, RT.1/RW.1, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Tunas Peugeot,-6.226035,106.8477539,"JL. Dr. Saharjo, No. 319, Tebet, RT.1/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Bengkel Peugeot,-6.321585300000001,106.924004,"Jl. Raya Hankam, RW.4, Jatimurni, Kec. Pd. Melati, Kota Bks, Jawa Barat 17431, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Peugeot,-6.2922975,106.79719,"RT.4/RW.9, West Cilandak, Cilandak, South Jakarta City, Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Mobil Peugeot Lebak Bulus,-6.2926882,106.7894774,"Jl. Letjen TB Simatupang No. 10 Lebak Bulus Cilandak Jakarta Selatan DKI Jakarta, RT.11/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
"PT. Astra International, Tbk - Peugeot",-6.292688999999999,106.789526,"Jl. R.A.Kartini No.Kavling 203, RT.11/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Peugeot Scooters Jakarta,-6.297288399999999,106.7840427,"Bumi harum manis, Jl. Lb. Bulus Raya 1 No.62, RT.10/RW.6, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12340, Indonesia","['store', 'point_of_interest', 'establishment']"
Kamil Motor Peugeot,-6.3513667,106.7541323,"Jl. Kunir 4 No.21A, Pd. Cabe Udik, Kec. Pamulang, Kota Tangerang Selatan, Banten 15418, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Peugeot HO Sunter,-6.1319233,106.8634108,"Jl.Gaya motor 2 no.1, sunter 2, RT.2/RW.12, Papanggo, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia","['electronics_store', 'store', 'point_of_interest', 'establishment']"
Dealer & Service Peugeot Scooters,-6.2731151,106.7450694,"Jl. Bintaro Utama 3A, Pd. Karya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15221, Indonesia","['store', 'point_of_interest', 'establishment']"
PEUGEOT MOTOCYCLE INDONESIA CIPETE,-6.2781858,106.8045796,"Jl. Cipete Raya No.1, RT.3/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Peugeot AutoTronics,-6.1917518,106.7806505,"Jl. Sang Timur No.105A, RT.12/RW.4, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
KENCANA MAS BENGKEL PEUGEOT,-6.295399,106.679198,"BSD AUTOPARTS G 15 SERPONG, BSD, East Lengkong Gudang, SERPONG BSD, TANGERANG, South Tangerang City, Banten 15318, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
"Engine Block Autoworks, Peugeot Specialist",-6.271982,106.710093,"No, Jl. Camat Pd. Aren No.28, Pondok Jaya, Pondok Aren, South Tangerang City, Banten 15229, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Auto Solution Peugeot Spesialis Supri,-6.320051899999999,106.9585116,"Jatiluhur, Jatiasih, Bekasi City, West Java 17425, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Dealer & Service Peugeot Scooters,-6.273136399999999,106.7450463,"Jl. Bintaro Utama 3 Blok AM No.40, Pd. Betung, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15221, Indonesia","['store', 'point_of_interest', 'establishment']"
DEKA MOTOR spesialis PEUGEOT,-6.2256206,106.9474679,"Jl. Malaka Baru No.24, Bintara, Kec. Bekasi Bar., Kota Bks, Jawa Barat 13460, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
