name,lat,long,formatted_address,types
Proton,-6.411535499999999,106.8163327,"Jl. Raya Citayam No.47, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Proton,-6.1949732,106.7826316,"Jl. Kemanggisan Raya No.5, RT.5/RW.13, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Proton,-6.229255800000001,106.7207334,"Jl. HOS Cokroaminoto, RT.1/RW.3, Sudimara Tim., Kec. Ciledug, Kota Tangerang, Banten 15151, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Proton,-6.2937543,106.6674429,"Ruko CBD, Jl. Pahlawan Seribu, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15322, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Proton,-6.2002975,106.6203473,"Ruko Victoria, Jl. Imam Bonjol, Bojong Jaya, Kec. Karawaci, Kota Tangerang, Banten 15138, Indonesia","['point_of_interest', 'establishment']"
Proton Edar Indonesia. PT,-6.291429099999999,106.6674485,"Ruko CBD - BSD Blok F12 - 15, Serpong, Lengkong Gudang, Kec. Serpong, Tangerang, Banten 15321, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Mobil Proton Exora Star MT,-6.4032455,106.8186951,"Jl. Kartini No.47, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Proton Gumilang,-6.2062518,106.7790428,"Jl. Sulaiman No.3, RT.7/RW.3, Sukabumi Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
PT. PROTON GUMILANG Head Office,-6.197841299999999,106.6386524,"Jl. Hartono Raya, Modern Golf Shop Houses T03/08B, Kota Modern, Kelapa Indah, Tangerang, Tangerang City, Banten 15117, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
PT. Proton Gumilang,-6.1979003,106.7930735,"Jl. Anggrek Cendrawasih II No.17 Kemanggisan Palmerah Jakarta Barat DKI Jakarta, RT.8/RW.2, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Proton Jatiasih,-6.310484199999999,106.9531837,"Jl. Wibawa Mukti II No.1, Jatiasih, Kec. Jatiasih, Kota Bks, Jawa Barat 17423, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Proton & SHELL Warehouse,-6.2323755,106.9893877,"Jl. Jend. Sudirman No.1, Harapan Mulya, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17143, Indonesia","['store', 'point_of_interest', 'establishment']"
Proton,-6.198264,106.935682,"Jl. Jendral Sudirman, RT.19/RW.7, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 17144, Indonesia","['point_of_interest', 'establishment']"
Pt. Proton Liftindo Perkasa,-6.309131,107.14275,"Jl. Industri Raya, Pasirsari, Cikarang Sel., Bekasi, Jawa Barat 17530, Indonesia","['store', 'point_of_interest', 'establishment']"
BPM Autowork - Specialist Proton Service - Om Dino,-6.2358107,107.0471514,"Jl. Permata X, Karangsatria, Kec. Tambun Utara, Bekasi, Jawa Barat 17510, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
