name,lat,long,formatted_address,types
Toyota,-6.153599,106.7930887,"Komp. Central Ratu Latumenten Blok AA 31, Jl. Prof. Dr. Latumenten Raya No. 50, RT.7/RW.1, Jelambar Baru, Grogol petamburan, West Jakarta City, Jakarta 11460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota Trust Bintaro,-6.277398799999999,106.7238328,"Pusat Kawasan Niaga Bintaro Jaya Sektor VII, Jl. Moh. Husni Thamrin No.2, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota,-6.186732699999999,106.8203838,"Wahid Hasyim Street No.164, RT.1/RW.9, Kampung Bali, Tanah Abang, Central Jakarta City, Jakarta 10250, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota,-6.138075,106.8801095,"Jl. Gaya Motor Raya No.5, RW.4, Sungai Bambu, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer Toyota Jakarta Pusat,-6.2059639,106.8214328,"Showroom Toyota, Jl. Jend. Sudirman Kav.3-4 Wisma Keiai Kav.3 Lt.1, RT.10/RW.11, Karet Tengsin, Kec. Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota,-6.1253861,106.7968453,"Jl. Pluit Selatan Raya, RT.1/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Auto2000 Toyota,-6.2471163,106.9205406,"Jl. Raya Kalimalang No.45, RT.1/RW.7, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota,-6.2909777,106.6657833,"Lengkong Gudang, Serpong Sub-District, South Tangerang City, Banten 15321, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Daya Toyota,-6.192849,106.970638,"Jl. Raya Bekasi KM 26.5 Kel. Ujung Menteng Kec. Cakung, RT.7/RW.5, Medan Satria, Kecamatan Medan Satria, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Tunas Toyota - Hayam Wuruk,-6.158482999999999,106.819032,"Hayam Wuruk Sreet No.53-52, RT.4/RW.4, Maphar, Taman Sari, West Jakarta City, Jakarta 11160, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. Toyota Astra Motor,-6.3140668,107.0838451,"Jalan Selayar, Mekarwangi, Cikarang Barat, Mekarwangi, Kec. Cikarang Bar., Bekasi, Jawa Barat 17530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Tunas Toyota Jatinegara,-6.2194718,106.8680035,"Jl. Raya Jatinegara Timur No.51, RT.11/RW.3, Bali Mester, Jakarta Timur, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Tunas Toyota Kebayoran Lama,-6.238916,106.779907,"Jl. Raya Kby. Lama Blok Masduri No.38, RT.4/RW.1, Palmerah, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PT. Anzon Auto Lestari (Toyota Tambun),-6.2653179,107.072097,"Jalan Sultan Hasanudin No.1, Tambun, Tambun Selatan, Tambun, Kec. Tambun Sel., Bekasi, Jawa Barat 17510, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota Astrido Klender,-6.215991799999999,106.9006342,"Jl. Pahlawan Revolusi No.09, RT.1/RW.6, Kel. Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Plaza Toyota Body Paint Karanggan,-6.465088799999999,106.8810648,"Jl. Raya Karanggan No.85, RT.7/RW.04, Karanggan, Kec. Gn. Putri, Bogor, Jawa Barat 16961, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Auto2000 Puri Kembangan,-6.1814075,106.7296259,"Jl. Lingkar Luar Barat, Jl. Puri Kembangan No.40, RT.5/RW.1, North Kembangan, Kembangan, West Jakarta City, Jakarta 11500, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Tito Toyota Garage,-6.1774013,106.7068956,"Blok C, Jl. Melati Blok G No.10, RT.6/RW.12, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Setiajaya Mobilindo,-6.580362699999999,106.8067264,"Jalan Raya Pajajaran, Bantarjati, Bogor, Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16143, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Toyota Cikarang,-6.216869,107.169942,"Jl. Flamboyan Sukaraya Karangbahagia Perum Sukaraya Indah Blok B10 no.24 Rt 06 Rw 07, Sukaraya, Karangbahagia, Bekasi, Jawa Barat 17530, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
