name,lat,long,formatted_address,types
Volvo,-6.264322,106.799769,"Duta Mas Fatmawati Lantai 1, JL. RS. Fatmawati No. 39, Cipete Utara, Kebayoran Baru, RT.1/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Bengkel VOLVO,-6.3002291,106.8275089,"Jl. Kebagusan No.80, RT.6/RW.1, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BV |VOLVO GARAGE|,-6.222305,106.962256,"Blok OO1 No., Jl. Bintara Pradana No.9, Bintara, Bekasi Barat, Bekasi City, West Java 17134, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
PT. Pulung Adikarya Nusantara,-6.192079,106.739567,"Rukan Taman Meruya Blok M 20-21, Kembangan, RT.6/RW.7, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Volvo Servis Vota Motor,-6.272580199999999,106.8086136,"Volvo Servis Vota Motor No.84, Jl. Pangeran Antasari, RT.1/RW.1, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Volvo Service,-6.2840886,106.8070436,"Jl. Pangeran Antasari Raya No. 39 Cilandak Cilandak Jakarta Selatan DKI Jakarta, RT.12/RW.13, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Bengawan Motor Volvo,-6.248349,106.847587,"Jl. Pancoran Timur VIII No.1, RT.5/RW.8, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
spare part volvo 960,-6.2754781,106.8403327,"Blok B, Jl. Komp. Siaga Raya 3 No.6, RT.8/RW.5, Pejaten Bar., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Endang Volvo Car Service,-6.5616463,106.825307,"Jl. Ciluar Asri Blok A No.C4-02, Ciluar, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16156, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Haji Agus / Vicki Causar Volvo,-6.2687479,106.8445827,"Jl. H. Noor No.10, RT.14/RW.1, Pejaten Bar., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Volvo Home Service,-6.374221899999999,106.8571573,"Jl. Kramat Benda No.9, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Bengkel Volvo,-6.3847742,106.8270649,"Jl. Kedondong 1 No.50, Kemiri Muka, Kec. Beji, Kota Depok, Jawa Barat 16423, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Universal Auto / Bengkel Volvo Pak Edi,-6.2922517,106.683097,"Jl. Komp. Bsd, Lengkong Wetan, Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
3 Putra Motor Volvo,-6.3313545,106.8082294,"Jl. M. Kahfi 1 No.11, RT.9/RW.2, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
sparepart volvo murah,-6.220708399999999,106.8682359,"Jl. Raya Jatinegara Timur No.65, RT.11/RW.3, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
bengkel mobil specialis volvo,-6.372228,106.857541,"jl kramat benda ry no 9 taman duta cisalak depok blkg giant cimanggis, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16418, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
jual sparepart volvo,-6.145567799999999,106.9160568,"Jl. Orchard Bar., RT.11/RW.1, Sukapura, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Najagar Motor Volvo,-6.272275,106.846579,"Jl. Raya Pasar Minggu No.KM 18, RT.11/RW.5, Pejaten Bar., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Spare Part Scania Truck Volvo,-6.159859099999999,106.8300206,"Jalan Krekot Jaya Molek Blok G No.12, Pasar Baru, Sawah Besar, RT.2/RW.7, Ps. Baru, Kec. Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
jual sparepart volvo,-6.1284307,106.9140183,"Jl. Intan No.35, RT.6/RW.9, Tugu Utara, Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14260, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
