name,lat,long,formatted_address,types
Volkswagen Audi Jakarta,-6.292661000000001,106.784779,"Gedung Metropolitan Tower, Jl. RA Kartini Kav.14, TB. Simatupang, RT.10/RW.4, Cilandak Barat, Cilandak, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12490, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
VW Jakarta,-6.1583035,106.8415106,"Jl. Angkasa No.18, RT.2/RW.9, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
VW Indosentosa Trada,-6.186462,106.731476,"Jalan Komplek Puri Blok R No.1 Kembangan, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
VW Polo Jakarta,-6.124850899999999,106.7556604,"Jalan Pantai Indah Selatan 1, blok ST No.1A, Kota Jkt Utara, RT.1/RW.6, Kapuk Muara, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Showroom VW Audi Jakarta,-6.242513000000001,106.862963,"Wisma Indomobil 1 Lt. 3, Jl. Letjen M.T. Haryono No.6, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
about vw all jakarta,-6.158295499999999,106.8414905,"Jl. Angkasa No.20S, RT.5/RW.2, South Gunung Sahari, Kemayoran, Central Jakarta City, Jakarta 10610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
VW Indonesia,-6.1582009,106.8416126,"Jalan Angkasa No, RT.1/RW.2, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Dealer VW MT Haryono,-6.2426962,106.8630328,"Wisma Indomobil, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Volkswagen Golf,-6.158527899999999,106.8414835,"Jl. Angkasa No.18, RT.1/RW.2, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
VW BSD,-6.276306000000001,106.65894,"BSD Sektor VI, Jl. Raya Serpong No.3, Lengkong Karya, Kec. Serpong, Kota Tangerang Selatan, Banten 15320, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Volkswagen TB Simatupang,-6.292780899999999,106.784654,"Gedung Metropolitan Tower, Jl. R.A.Kartini Jl. TB Simatupang No.Kav.14, RT.10/RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Volkswagen TB Simatupang,-6.293938,106.825268,"Gedung Metropolitan Tower, Jl. R.A.Kartini Jl. TB Simatupang No.kav.14, RT.7/RW.4, Jati Padang, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
