name,lat,long,formatted_address,types
PT. Wuling Motors Indonesia,-6.3842576,107.1882347,"Greenland International Industrial Center (GIIC) Blok BA No. 1, Jl. Tol Jakarta - Cikampek No.No, Sukamahi, Kec. Cikarang Pusat, Bekasi, Jawa Barat 17530, Indonesia","['point_of_interest', 'establishment']"
Wuling Serpong,-6.2585041,106.6195129,"Jl. Gading Serpong Boulevard Kav. S No. 15, Summarecon Gading Serpong 082213293368, Curug Sangereng, Kec. Klp. Dua, Banten 15810, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Wuling Motors kapuk Sales Service,-6.122160699999999,106.7316684,"Lantai 3, Jalan Lingkar luar Barat No.129, Cengkareng Timur, RT.5/RW.1, RT.13/RW.11, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Wuling dealer cibubur,-6.3887931,106.9447009,"Jl.Alternatif Cibubur Km 6 No1 8, Nagrak, Gunung Putri, Nagrak, Kec. Gn. Putri, Bogor, Jawa Barat 16967, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Wuling Motors,-6.214238,106.820624,"Jl. Jend. Sudirman. Kav. 29-31, World Trade Center Tower 1, , Floor 17, RT.4/RW.2, Karet, RT.4/RW.2, Kuningan, Karet, Jakarta, Daerah Khusus Ibukota Jakarta 12920, Indonesia","['point_of_interest', 'establishment']"
Wuling Automobile Dealers Kapuk,-6.122655,106.731184,"Jalan Lingkar Luar 129 2 1, RT.12/RW.11, Cengkareng Tim., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Wuling Depok,-6.4015982,106.8188946,"Jl. Kartini No.46, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431, Indonesia","['point_of_interest', 'establishment']"
Wuling Garuda,-6.161289399999999,106.8466754,"74 Jalan Garuda 1, RT.1/RW.7, 8, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
PRIMA WULING TOMANG dki brt,-6.184335,106.78968,"Jalan Arjuna Utara No.131, RW.1, RT.1/RW.1, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Wuling Jayakarta,-6.1395171,106.8197106,"Jl. Pangeran Jayakarta No.33, RT.1/RW.3, Taman Sari, Kec. Sawah Besar, Jakarta, Daerah Khusus Ibukota Jakarta 10730, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
