name,lat,long,formatted_address,types
Lucky Cat coffee & kitchen,-6.221459299999999,106.8335545,"Parkir Selatan Plaza Festival, Jl. H. R. Rasuna Said No.C22, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
The Cat Cabin,-6.255357999999999,106.8142599,"Jalan Kemang Raya No. 31, RT. 13 / RW. 1, Bangka, Mampang Prapatan, RT.13/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720, Indonesia","['cafe', 'food', 'point_of_interest', 'establishment']"
Cutie Cats Cafe,-6.2577053,106.8131267,"Jl. Kemang I No.12-29, RT.10/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","['cafe', 'food', 'point_of_interest', 'establishment']"
Cahaya Berkat Toko Cat,-6.2796238,106.7725527,"Jl. Ciputat Raya No.20, RT.1/RW.7, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
motorcycle paint workshop,-6.1997351,106.4745431,"Jl. Raya Serang No.km, galian air, Kec. Cikupa, Tangerang, Banten 15710, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Toko Cat Dunia Warna Abadi,-6.192734,106.998787,"Jl. Kali Abang Tengah Blok Kenanga No.18, Kaliabang Tengah, Kec. Bekasi Utara, Jawa Barat, 17125, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko Cat Lancar Jaya,-6.407721,106.961288,"Depan Pasar Cileungsi, Jl. Narogong Raya, Cileungsi Kidul, Kec. Cileungsi, Bogor, Jawa Barat 16820, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
CAT building - BKN,-6.2582151,106.8692088,"Jl. Mayor Jendral Sutoyo No.12, RT.4/RW.14, Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13640, Indonesia","['point_of_interest', 'establishment']"
Maxima Color Center Toko Cat,-6.1652338,106.7883923,"Jl Satria Raya no 6, RT.4/RW.4, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko Cat Sinar Selatan,-6.277996,106.762042,"Jalan Pahlawan No.9 RT 002 RW 10 Kelurahan Rempoa Kecamatan Ciputat Timur, Rempoa, Tangerang Selatan, Banten, 15412, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko Cat Le Colour,-6.2876867,106.6656975,"Jl. Pahlawan Seribu No.9, RT.6/RW.4, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko cat Bellawarna joglo,-6.2189552,106.7272331,"Jl. Joglo Raya No.11B, RT.13/RW.2, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Auto2000 Body Paint Sunter,-6.1374146,106.8841854,"Tanjung Priuk, Jl. Gaya Motor III No.3, RW.8, Bambu River, Tanjung Priok, North Jakarta City, Jakarta 14330, Indonesia","['car_repair', 'car_dealer', 'store', 'point_of_interest', 'establishment']"
Cahaya Baru Paint Shop,-6.1810158,106.842341,"Jl. Kramat Raya No.42, RT.5/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko Cat Cahaya Abadi,-6.299413599999999,106.763443,"Jalan Ir. H. Juanda, Jl. Ciputat Raya No.34, Cireundeu, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko Cat Warna Terang,-6.1433399,106.699444,"Jl. Peta Barat No.Blok A/7, RT.2/RW.18, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Toko Cat Mowilex,-6.243417399999999,106.6220707,"Jl. Lilin Utara 13 Blok, DK8 Blok DK8 No.2, Klp. Dua, Kec. Klp. Dua, Tangerang, Banten 15810, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Cat Warna Warni Toko,-6.316748899999999,106.6626123,"JL. Raya Serpong RT 005/01, Tangerang, 15325, Serpong, Serpong Sub-District, South Tangerang City, Banten 15310, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Kopi Cat Cafe By Groovy,-6.269382999999999,106.739243,"Jl. Bintaro Utama 3A, Sektor 3A, Ruko Victorian, Blok C5, Bintaro, Pd. Karya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15225, Indonesia","['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
Toko Cat Daya Prima,-6.24604,106.917409,"Jl. H. Dahlan No.3A, RT.2/RW.7, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
