name,lat,long,formatted_address,types
GSA COATING SYSTEM,-6.4708085,106.8594261,"Jl. KH. Nawawi No.24, RT.1/RW.1, Cirimekar, Cibinong, Bogor, Jawa Barat 16917, Indonesia","['store', 'point_of_interest', 'establishment']"
PT. Antara Bintang Sekawan,-6.171935,106.851601,"Jl. Mahoni, RT.5/RW.8, Bungur, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460, Indonesia","['point_of_interest', 'establishment']"
REX WHEELS POWDERCOATING,-6.2288576,106.8946149,"Jl. Cipinang Muara I No.15, RT.12/RW.2, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Mitra Setia Kemalindo. PT,-6.3211249,107.1279427,"Delta Silicon Industrial Park, Jl. Akasia II Blok AE No. 48, Lippo Cikarang, Sukaresmi, Cikarang Sel., Bekasi, Jawa Barat 17530, Indonesia","['point_of_interest', 'establishment']"
Asco Multi Kreasi,-6.185144999999999,106.6675236,"Jalan K. Haji Mustofa No. 38, RT.0001 / RW.004, Poris Plawad, Cipondoh, Poris Plawad Utara, Kec. Cipondoh, Kota Tangerang, Banten 15122, Indonesia","['point_of_interest', 'establishment']"
TopCoat Serpong - Sapphire Serum Coating & Auto Detailing,-6.2708588,106.6318066,"Ruko Mendrisio 2 Blok A-15, Jalan Boulevard iL Lago, Cihuni, Kec. Pagedangan, Tangerang, Banten 15332, Indonesia","['car_wash', 'store', 'point_of_interest', 'establishment']"
PT. PPG COATINGS INDONESIA,-6.1995336,106.914481,"Kawasan Industri Pulogadung Blok 2 L 6 No. 1, Jl. Rawa Gelam 3, RW.9, Jatinegara, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13920, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
PADMA SUPER COATING,-6.428655300000001,106.8880261,"Jl. Raya Tapos No.23, RT.2/RW.12, Tapos, Kec. Tapos, Kota Depok, Jawa Barat 16457, Indonesia","['point_of_interest', 'establishment']"
PT. Axalta Powder Coating Systems Indonesia,-6.2897576,107.1428746,"Jl. Jababeka III, Pasirgombong, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530, Indonesia","['point_of_interest', 'establishment']"
Citra Bangun Buana Prima. PT,-6.208181,106.627808,"JL. MH Thamrin, Km 7 Blok E/19, Kawasan Bangun Multiguna, Tangerang, 15111, Cikokol, Tangerang, Tangerang City, Banten 15117, Indonesia","['point_of_interest', 'establishment']"
Adlan Powder Coating,-6.346602499999999,106.8227374,"Jl. Klp., RT.No. 49/RW.6, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia","['point_of_interest', 'establishment']"
Jasa Pengecatan Powder Coating Jakarta,-6.199703,106.922254,"Jl. Dr. KRT Radjiman Widyodiningrat, Jaticempaka, Kec. Cakung, Kota Jakarta Timur, Jawa Barat 17426, Indonesia","['point_of_interest', 'establishment']"
Indoderco Semesta Raya,-6.2495771,106.4984272,"Jl. Milenium 9 Blok E2 No. 26-27, Peusar, Kec. Panongan, Tangerang, Banten 15710, Indonesia","['point_of_interest', 'establishment']"
PT TASM,-6.289079,107.145314,"Jl. Jababeka Raya G No.18-23, Pasirgombong, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530, Indonesia","['point_of_interest', 'establishment']"
Sandblasting & Powder coating Semut Pasir Indonesia,-6.305797,106.952267,"Jl. Tim. Asih No.33, Jatiasih, Kec. Jatiasih, Kota Bks, Jawa Barat 17423, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Jasa Powder Coating Tangerang,-6.209302699999999,106.6816528,"Jl. Kp., Nerogtog, Kec. Pinang, Kota Tangerang, Banten 15145, Indonesia","['general_contractor', 'point_of_interest', 'establishment']"
"EPOXY COATING , PT.SATYA DIAN PRATAMA",-6.284807,106.76471,"Jl. Mawar I No.14, RT.2/RW.14, Bintaro, Kec. Pesanggrahan, Jakarta, Daerah Khusus Ibukota Jakarta 12330, Indonesia","['point_of_interest', 'establishment']"
Jago Powder coating & Sandblasting,-6.325006,106.743065,"Jl. Otista Raya No.17, Seberang Alfa, Midi, Kota Tangerang Selatan, Banten 15411, Indonesia","['point_of_interest', 'establishment']"
Abadi Coating Solusi. PT,-6.190214,106.59413,"Jl. Prabu Siliwangi, RT.002/RW.004, Keroncong, Kec. Jatiuwung, Kota Tangerang, Banten 15134, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Cadas Jagat Raya. PT,-6.142335,106.584953,"Kawasan Industri Mekar JayaJL. Karet Jaya Raya Km 7, Tangerang, 15124, Lebak Wangi, Sepatan Timur, Karet, Kec. Sepatan, Tangerang, Banten 15520, Indonesia","['painter', 'point_of_interest', 'establishment']"
Berkah Putera Khatulistiwa Powder Coating,-6.2301464,106.5120663,"Jl. Padat Karya No.19, Sukamulya, Kec. Cikupa, Tangerang, Banten 15710, Indonesia","['point_of_interest', 'establishment']"
Jotun Powder Coatings Indonesia,-6.283248599999999,106.5942257,"Jl. Raya Legok Km 6%2C8 RT 004 RW 03 Legok Tangerang Tangerang Banten, Bojong, Cikupa, Tangerang, Banten 15710, Indonesia","['painter', 'point_of_interest', 'establishment']"
Sales Support Powder Coating Oxyplast,-6.275464899999999,106.6603599,"Golden Boulevard, Blk. E No.25, Lengkong Karya, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15310, Indonesia","['point_of_interest', 'establishment']"
PT. Maneka Jaya Kreatif,-6.1331143,106.5686384,"JL Raya Mauk, Km. 7, Sepatan, Karet, Tangerang, Banten 15520, Indonesia","['point_of_interest', 'establishment']"
Jaco Jaya Sejahtera,-6.096776999999999,106.669768,"Belimbing, Kosambi, Tangerang, Banten 15212, Indonesia","['point_of_interest', 'establishment']"
PT. Warna Alam Raya,-6.3079231,107.172085,"Jalan Jababeka Raya, Blok K1/D, kawasan Industri Jababeka I, Sertajaya, East Cikarang, Bekasi, West Java 17530, Indonesia","['point_of_interest', 'establishment']"
PT. Mitra Warna Cat Indonesia.Ltd,-6.2651072,106.5318919,"Kp. Ciakar, RT.01/RW.001, Ciakar, Panongan, Ciakar, Kec. Panongan, Kab: Tangrang, Banten 15710, Indonesia","['point_of_interest', 'establishment']"
JAVUTO INDONESIA CERAMIC COATING & DETAILING,-6.2959434,106.6402659,"Ruko Alicante, Jl. BSD Raya Utama, Gading, Kec. Serpong, Tangerang, Banten 15334, Indonesia","['home_goods_store', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Jual cat kapal NIPPON PAINT MARINE COATING NIPPELUX NIPPEKOTE NIPPECHLOR NIPPENYL NIPPEZINC,-6.103211,106.9287183,"Jl. Cilincing Baru II No.31, RT.12/RW.1, Cilincing, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14120, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
MTU Workshop,-6.386745599999999,107.1012883,"Kp. Ceper, RT. 04/RW. 02 Jl. Madias, Jl. Pasir Randu No.75, Sukasari, Kec. Serang Baru, Bekasi, Jawa Barat 17330, Indonesia","['point_of_interest', 'establishment']"
Aegis Indonesia - Premium Nano Coating,-6.219328,106.619152,"No. 51, Cibodas Lippo Karawaci, Jl. Kalimantan, Panunggangan Bar., Kec. Tangerang, Kota Tangerang, Banten 15811, Indonesia","['general_contractor', 'point_of_interest', 'establishment']"
PT DEHACE,-6.2096176,106.6819846,"Jl. Kp. Noroktog, Nerogtog, Kec. Pinang, Kota Tangerang, Banten 15145, Indonesia","['point_of_interest', 'establishment']"
"|| OPTI INDO || Nano Ceramic Coating Paint Protection, Autodetailing - Salon Mobil Jakarta",-6.137989699999999,106.8666118,"Jl. Danau Sunter Utara No.R 76, RT.1/RW.19, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia","['car_wash', 'car_repair', 'point_of_interest', 'establishment']"
PT. Masato Catur Coating,-6.3121817,107.0871403,"Jl. Selayar No.27, Mekarwangi, Kec. Cikarang Bar., Bekasi, Jawa Barat 17530, Indonesia","['point_of_interest', 'establishment']"
PT Nano Coating Indonesia,-6.3078482,107.1511633,"Pasirsari, South Cikarang, Bekasi, West Java 17530, Indonesia","['point_of_interest', 'establishment']"
PT Semut Pasir Indonesia (Jasa Powder Coating Semut Pasir Indonesia),-6.3057395,106.9522273,"Jl. Tim. Asih No.33, Jatiasih, Kec. Jatiasih, Kota Bks, Jawa Barat 17423, Indonesia","['home_goods_store', 'store', 'point_of_interest', 'establishment']"
PT.Multi Coating Indonesia,-6.3553926,106.9745636,"Jl. Narogong Raya Blok P. VI No.26, RT.3/RW.5, Limus Nunggal, Kec. Cileungsi, Bogor, Jawa Barat 16820, Indonesia","['general_contractor', 'point_of_interest', 'establishment']"
Nirvana Coating,-6.1492805,106.8348098,"Jl. Gn. Sahari No.2-M, RT.16/RW.3, Gn. Sahari Utara, Kec. Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720, Indonesia","['painter', 'point_of_interest', 'establishment']"
CV Nuur Muhgnii Jaya (NMJ Powder Coating),-6.230310299999999,106.5427529,"Bitung Jaya, Cikupa, Tangerang, Banten 15710, Indonesia","['point_of_interest', 'establishment']"
Jasa Floor Coating Revology,-6.2874262,106.9218753,"Jl. Masjid Hudal Islam No.98, Jatimakmur, Kec. Pondokgede, Kota Bks, Jawa Barat 17413, Indonesia","['general_contractor', 'point_of_interest', 'establishment']"
