Name,Specific Brand,lat,long,Address,types
"|| OPTI INDO || Nano Ceramic Coating Paint Protection, Autodetailing - Salon Mobil Jakarta",Misc,-6.1379897,106.8666118,"Jl. Danau Sunter Utara No.R 76, RT.1/RW.19, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia","['car_wash', 'car_repair', 'point_of_interest', 'establishment']"
3 Putra Motor Volvo,Volvo,-6.3313545,106.8082294,"Jl. M. Kahfi 1 No.11, RT.9/RW.2, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
AAC Motor CHEVROLET,Chevrolet,-6.2676101,106.9950791,"Jalan Siliwangi Raya No.225, Sepanjang Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17116, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Abi Zhidan Motor Mini,Misc,-6.22376,106.7583943,"Jl. Palem, RT.1/RW.8, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia","['store', 'point_of_interest', 'establishment']"
about vw all jakarta,VW,-6.1582955,106.8414905,"Jl. Angkasa No.20S, RT.5/RW.2, South Gunung Sahari, Kemayoran, Central Jakarta City, Jakarta 10610, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Adji Sales Nissan Datsun Bintaro,Nissan/Datsun,-6.275087,106.718164,"Jl. Rasuna Said Kav A-5-11 Blok B7 CBD Sektor VII, Bintaro, Pondok Jaya, Pondok Aren, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15220, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Adlan Powder Coating,Misc,-6.3466025,106.8227374,"Jl. Klp., RT.No. 49/RW.6, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia","['point_of_interest', 'establishment']"
Adya Motor Mini!,Misc,-6.405711,106.746621,"Jalan Muchtar Raya RT 03 RW 05 Kelurahan Bojongsari Lama Kecamatan Sawangan, Depok, Bojongsari Lama, Kec. Bojongsari, Kota Depok, Jawa Barat 16516, Indonesia","['store', 'point_of_interest', 'establishment']"
Aegis Indonesia - Premium Nano Coating,Misc,-6.219328,106.619152,"No. 51, Cibodas Lippo Karawaci, Jl. Kalimantan, Panunggangan Bar., Kec. Tangerang, Kota Tangerang, Banten 15811, Indonesia","['general_contractor', 'point_of_interest', 'establishment']"
AHASS 13311 (Bengkel Resmi Honda),Honda,-6.2691989,107.1777416,"Jl. Urip Sumoharjo, Tanjungsari, Kec. Cikarang Tim., Bekasi, Jawa Barat 17530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Ahmad Farid Sales Marketing Penjualan Mobil Baru Chevrolet,Chevrolet,-6.24086,106.783145,"Jl. Arteri Pondok Indah No. 8-9, Kebayoran Lama, Jakarta Selatan, DKI, Jakarta, RT.3/RW.2, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Allwork Ford PT,Ford,-6.144243,106.786176,"Jl. Pangeran Tubagus Angke Blok D No.10, RT.13/RW.7, Jelambar Baru, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Andalan Motor Pondok Indah,Misc,-6.2407922,106.7833723,"Jl. Sultan Iskandar Muda No.8-9, RT.3/RW.2, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Andalan Motor Samanhudi,Misc,-6.1595756,106.8355937,"Jl. Samanhudi No.43, RT.5/RW.3, Ps. Baru, Kec. Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Anw Auto Service Nissan Datsun,Nissan/Datsun,-6.3644557,106.9196749,"Anw auto service nissan datsun, Jl. Kranggan Raya No.1, Jatiraden, Kec. Jatisampurna, Kota Bks, Jawa Barat 17433, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Arkhan Ferrari EO ENTERTAINMENT & Tour Travel,Ferrari,-6.274571,106.696127,"Jl Masjid assa'adah Kel. Parigi lama NO 26 RT 03 RW 04 KEC. Pondok Aren, Jalan Taman Makam Bahagia, Parigi, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15227, Indonesia","['store', 'point_of_interest', 'establishment']"
Asco Body Repair,Misc,-6.3923685,106.9544922,"Jl. Raya Jonggol - Cileungsi, Cileungsi, Kec. Cileungsi, Bogor, Jawa Barat 16820, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Asco Multi Kreasi,Misc,-6.185145,106.6675236,"Jalan K. Haji Mustofa No. 38, RT.0001 / RW.004, Poris Plawad, Cipondoh, Poris Plawad Utara, Kec. Cipondoh, Kota Tangerang, Banten 15122, Indonesia","['point_of_interest', 'establishment']"
Astra BMW Sunter,BMW,-6.140213,106.88501,"Jalan Gaya Motor Selatan No.1, RW.8, Sungai Bambu, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Asuransi Ramayana Tbk. PT (Bengkel Rekaan Tangerang),Misc,-6.29043,106.666167,"Metro Auto Care Serpong BSD City, JL. Pahlawan Seribu, No.3, Kav. Komersil III A, Lengkong Gudang, Tangerang, Kota Tangerang Selatan, Banten 15321, Indonesia","['insurance_agency', 'car_repair', 'point_of_interest', 'establishment']"
Audi All Jakarta,Misc,-6.1745127,106.8651682,"1, RT.1/RW.8, East Cempaka Putih, Cempaka Putih, Central Jakarta City, Jakarta 10510, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi BSD,Misc,-6.276187,106.658759,"Sektor VI Blok 201 Kav. 3 Bumi Serpong Damai, Lengkong Karya, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15310, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
AUDI CENTER JAKARTA INDONESIA,Misc,-6.1249521,106.754431,"Jl. Kapuk Muara Raya No.1, RT.1/RW.16, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Audi Center MT. Haryono,Misc,-6.2428591,106.8645059,"Gedung Indomobil Tower IV, Jl. Letjen M.T. Haryono No.Kav. 11, RW.6, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
