name,lat,long,formatted_address,types
Cuci Mobil,-6.3087323,107.1494339,"Pasirsari, South Cikarang, Bekasi, West Java 17530, Indonesia","['gas_station', 'point_of_interest', 'establishment']"
Lapangan Parkir Mobil Dasa 4,-6.258981700000001,106.7849485,"Jl. Dasa IV No.47, RT.5/RW.11, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['gas_station', 'point_of_interest', 'establishment']"
SLT Pancoran,-6.2447504,106.8417662,"Jl. Raya Pasar Minggu No.11A, RT.1/RW.4, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780, Indonesia","['gas_station', 'car_wash', 'car_repair', 'point_of_interest', 'establishment']"
Cuci Mobil Kelapa Gading,-6.1469997,106.8966835,"RT.18/RW.8, West Kelapa Gading, Kelapa Gading, North Jakarta City, Jakarta 14240, Indonesia","['gas_station', 'point_of_interest', 'establishment']"
Sam AC Mobil,-6.476238599999999,106.8190772,"Jalan Raya Kusumayadi, Sukahati, Cibinong, Bogor, Jawa Barat 16914, Indonesia","['gas_station', 'car_repair', 'point_of_interest', 'establishment']"
jasa pengiriman mobil,-6.5165457,106.861783,"Jl. Raya Sirkuit Sentul No.95, Leuwinutug, Kec. Citeureup, Bogor, Jawa Barat 16810, Indonesia","['gas_station', 'point_of_interest', 'establishment']"
Mobil Oil Singapore Pte Ltd,-6.217444299999999,106.8129015,"Jl. Jend. Sudirman No.28, RT.14/RW.1, Bend. Hilir, Kec. Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia","['point_of_interest', 'establishment']"
Mira Mobil Ratnajaya,-6.1453187,106.8922056,"Jl. Raya Pegangsaan 2 Km.5 No. 88 Pegangsaan Dua Kelapa Gading Jakarta Utara DKI Jakarta, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","['gas_station', 'point_of_interest', 'establishment']"
SM Motorsport,-6.197511,106.769103,"JL Panjang, No. 38, Arteri Kebun Jeruk, RT.1/RW.11, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,-6.2883506,106.8180431,"Jl. Ampera Raya No.4, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560, Indonesia","['point_of_interest', 'establishment']"
Dokter MOBIL BEKASI,-6.248925000000001,106.937012,"Blok G9 No.7, Service, Mobil, Jl. Inspeksi Kalimalang, RT.2/RW.11, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450, Indonesia","['electronics_store', 'car_repair', 'store', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,-6.1832793,106.9786616,"Jl. Komp. Ruko Boulevard Blok c No.16, Harapan Indah, Kota Bks, Pejuang, Medan Satria, Bekasi City, West Java 17131, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,-6.1624539,106.8234325,"Jl. Batu Ceper No.59, RT.15/RW.1, Kb. Klp., Kec. Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,-6.194945,106.724693,"Jl. Raden Saleh Blok 10 No.25, RT.5/RW.1, Meruya Utara, Kec. Kembangan, Jakarta, Daerah Khusus Ibukota Jakarta 15157, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
BeliMobilGue.co.id,-6.2426204,106.6213419,"Kelapa Dua, Tangerang, Banten 15810, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Dokter Mobil Serpong,-6.244479,106.6261006,"RUKO Paramount Dotcom Blok Orange No. 5 Jl. CBD, Pakulonan Bar., Kec. Klp. Dua, Kota Tangerang, Banten 15810, Indonesia","['home_goods_store', 'car_repair', 'store', 'point_of_interest', 'establishment']"
BUTIK OLI MOBIL,-6.1463144,106.8970491,"Jl.Boulevard Artha Gading Blok A7A No.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Foxlogger GPS Tracker Pelacak Kendaraan,-6.143443599999999,106.8301595,"Ruko, 46 Blok B Kompleks, Jl. Pangeran Jayakarta Dalam No.18, RT.7/RW.7, Mangga Dua Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Otobid Lelang,-6.135765,106.6261043,"Jalan Marsekal Suryadharma Komplek Pergudangan Bandara Mas, Blok O, Kedaung Wetan, Kec. Neglasari, Kota Tangerang, Banten 15127, Indonesia","['car_dealer', 'store', 'point_of_interest', 'establishment']"
Cartens® Autosound And Installation,-6.2634791,106.7996396,"Pusat Niaga Duta Mas Fatmawati Rukan Blok D2 No.22 Jl. Fatmawati Cipete Kebayoran Baru, RT.1/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia","['electronics_store', 'home_goods_store', 'car_repair', 'store', 'point_of_interest', 'establishment']"
