name,lat,long,formatted_address,types
Auto Pro Body Repair,-6.270114,106.7750223,"Jl. Ciputat Raya Blok Anggrek No.63, RT.4/RW.11, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Asco Body Repair,-6.3923685,106.9544922,"Jl. Raya Jonggol - Cileungsi, Cileungsi, Kec. Cileungsi, Bogor, Jawa Barat 16820, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
StarJaya Body Repair,-6.192791,106.7628748,"Jalan Perjuangan No.8 13 10, RT.13/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Autowerke Body Repair,-6.271936,106.8069467,"Jalan Asem II Blok Ros No.32, RT.1/RW.1, South Cipete, Cilandak, South Jakarta City, Jakarta 12410, Indonesia","['car_repair', 'store', 'point_of_interest', 'establishment']"
Nico Car Body Repair,-6.2953835,106.7580005,"Jl. Pahlawan No.54, RT.1/RW.9, Rempoa, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Paint Auto Repair,-6.411516,106.830918,"Blok Kampung Parung Serab, Jalan Raya Ksu / Pemancar Rri Blok Kampung Parung Serab #1, Tirtajaya, Sukmajaya, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
MVM Auto Repair,-6.2569357,106.7809154,"Jl. Tanah Kusir II No.9, RT.1/RW.8, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Mekanika Motor - Bengkel Body repair & Oven painting,-6.240622699999999,106.8266361,"No 9 C, Jl. Kapten Tendean, RT.1/RW.3, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia","['insurance_agency', 'car_repair', 'point_of_interest', 'establishment']"
AutoCraft Body Repair,-6.2073034,106.7863784,"Jl. Palmerah Utara No.47 B, RT.2/RW.3, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Rafet Auto - Bengkel Cat Mobil & Body Repair Depok,-6.401594999999999,106.86221,"Jl. Raya Bogor KM.35 No.37, Sukamaju Baru, Kec. Tapos, Kota Depok, Jawa Barat 16455, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Suzuki Pulogadung Sejahtera Buana Trada & Body Repair,-6.1846523,106.9080416,"Jl. Raya Bekasi No.KM.19, RT.1/RW.2, Rw. Terate, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13920, Indonesia","['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Rama Motor (Garda Q Repair),-6.568587,106.80972,"16151, Jl. Achmad Adnawijaya, Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Formula Specialist & Body Repair,-6.182491199999999,106.982876,"Jl. Harapan Indah Raya, Pejuang, Kecamatan Medan Satria, Bekasi, Jawa Barat 17131, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Lief's Auto Body Repair,-6.182851899999999,106.7782362,"Jalan Patra Blok Guji Baru No.82 3, RT.2/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
MAX Autocar Paint & Body Repair,-6.143802,106.7214345,"Jln.Cendrawasih raya no.8 cengkareng barat seberang GOR Pemuda/ATM bank DKI. sebelah Pom bensin Cendrawasih RT07 / RW 6 Cengkareng, RT.6/RW.6, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Kingsford Body Repair,-6.1685306,106.8695554,"Jalan Letjend. Suprapto No.78A, RT.16/RW.5, Cemp. Baru, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Spectra Body Repair,-6.289768,106.817185,"Jl. Jl.Ampera Raya No.1 (Disamping SMP/SMU Sumbangsih), RT.2/RW.2, Cilandak Tim., Cilandak Timur,Jakarta Selatan, DKI Jakarta, Daerah Khusus Ibukota Jakarta 12560, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Hanggar Body Repair,-6.544340099999999,106.7734157,"Jl. Sholeh Iskandar KM.4 No.3, Cibadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16166, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Garasi kav.56 Auto Body Repair & Paint,-6.2496465,106.7417938,"Jl. Caraka Utama No.56, Cipadu Jaya, Kec. Larangan, Kota Tangerang, Banten 15155, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
Body Repair @ BTC Bintaro Jaya,-6.279503999999999,106.721639,"Ps. Modern Bintaro Jaya, Bintaro Trade Centre, Pd. Jaya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15224, Indonesia","['car_repair', 'point_of_interest', 'establishment']"
